GenA	GenB	MI
NCKAP1L	DOCK2	0.678953
NCKAP1L	FERMT3	0.635386
NCKAP1L	MYO1F	0.602004
ACAP1	RASAL3	0.601841
ACAP1	SEPTIN1	0.591107
DOCK2	PIK3R5	0.58679
RASAL3	PTPN7	0.58038
RASAL3	SEPTIN1	0.580111
PIK3CG	DOCK2	0.57465
FERMT3	TRPV2	0.574622
BCL7C	CCDC57	0.573534
TYROBP	FCER1G	0.572695
CD4	NCKAP1L	0.572366
BTK	NCKAP1L	0.570621
SASH3	DOCK2	0.570469
RASAL3	ARHGAP9	0.569946
CASZ1	CCDC57	0.563181
SASH3	SPN	0.562842
MYO1F	FERMT3	0.562633
PIK3CG	NCKAP1L	0.559276
LCP2	NCKAP1L	0.558976
BCL7C	NSMCE1	0.557922
KDM4C	BRD10	0.555988
DOCK2	FERMT3	0.55487
LCP2	DOCK2	0.550222
SASH3	NCKAP1L	0.549518
DOCK2	MYO1F	0.548576
PLVAP	GPR4	0.547827
NCKAP1L	PIK3R5	0.54569
ACAP1	ARHGAP9	0.542134
RASAL3	SASH3	0.541256
ARHGAP9	PTPN7	0.540883
H2BC19P	H2BC20P	0.538653
SASH3	GIMAP6	0.538495
BTK	FERMT3	0.532565
C3AR1	LRRC25	0.530393
RASAL3	NLRC3	0.528673
WAS	LCP2	0.527663
KDM4C	UHRF2	0.525264
WAS	MYO1F	0.522996
BCL7C	CASZ1	0.521239
DDX12B	DDX12P	0.521043
SASH3	PTPN7	0.520063
DOCK2	IKZF1	0.519168
BTK	TRPV2	0.517603
NCKAP1L	TRPV2	0.51462
RASAL3	IL16	0.513377
WAS	NCKAP1L	0.512988
CORO1A	PTPN7	0.510007
LCP2	SASH3	0.509554
ZNF529	ZNF567	0.508625
DIPK2B	ARHGEF15	0.507722
SASH3	SNX20	0.507315
LCP2	APBB1IP	0.507258
SASH3	IL16	0.506595
MAP4K1	SEPTIN1	0.505593
RIC1	BRD10	0.504789
C3AR1	FPR3	0.504273
LCP2	MYO1F	0.503842
LCP2	FERMT3	0.503095
RASAL3	LCK	0.502784
WAS	DOCK2	0.501994
CYTH4	MYO1F	0.501547
ACAP1	PTPN7	0.501054
SPI1	CSF1R	0.500851
CORO1A	SASH3	0.500344
ACAP1	NLRC3	0.49883
BTK	PIK3R5	0.498418
PIK3CG	SASH3	0.498005
RIC1	UHRF2	0.497933
EEF1A1P12	EEF1A1P9	0.49784
ELOB	NSMCE1	0.496808
THEM5	C2CD4D-AS1	0.496714
PPP1R14B	PPP1R14BP3	0.495811
PIK3R5	MYO1F	0.495501
NLRC3	SEPTIN1	0.49541
CD37	SASH3	0.494552
SASH3	FAM78A	0.494307
SEPTIN1	LCK	0.494236
ZNF547	TRAPPC2B	0.493859
CORO1A	RASAL3	0.492303
LCP2	CORO1A	0.49222
PIK3CG	IKZF1	0.490998
SELPLG	DOCK2	0.488844
CYTH4	SASH3	0.488403
APBB1IP	DOCK2	0.488051
WAS	PIK3CG	0.487553
NSMCE1	CCDC57	0.486494
SASH3	FERMT3	0.48626
BTK	MYO1F	0.485886
WAS	FERMT3	0.48544
PIK3CG	SELPLG	0.485097
PIK3CG	PIK3R5	0.484639
CD4	FERMT3	0.484324
SMUG1	NSMCE1	0.484041
WAS	CORO1A	0.483731
SMUG1	CASZ1	0.482816
CD4	BTK	0.482512
CD33	CSF1R	0.482325
NAA15	ABCE1	0.482126
LDB2	CD34	0.481367
CD4	SPI1	0.480869
NCKAP1L	SNX20	0.480685
DIPK2B	CD34	0.480638
ACAP1	LCK	0.480405
RASAL3	FAM78A	0.480217
WAS	GAB3	0.480168
LCP2	PIK3CG	0.479217
ADGRF5	PLVAP	0.478689
MYO1F	TRPV2	0.478648
APBB1IP	NCKAP1L	0.478592
WAS	CD37	0.478378
BCL7C	ELOB	0.478021
ZNF443	ZNF799	0.477035
CD37	FERMT3	0.47655
RIC1	KDM4C	0.475778
LCP2	PTPN7	0.474592
TYROBP	C3AR1	0.474588
APBB1IP	MYO1F	0.474018
PARVG	MYO1F	0.47315
ARHGAP9	SEPTIN1	0.472688
DOCK2	IL16	0.47258
LCP2	RASAL3	0.471674
IL16	SEPTIN1	0.471667
WAS	ARHGAP9	0.471403
PDGFRB	LRRC32	0.470493
TEK	DIPK2B	0.470433
RHOH	SEPTIN1	0.46962
RASAL3	IKZF1	0.469607
CD37	NCKAP1L	0.469246
SMUG1	CCDC57	0.468299
RASAL3	DOCK2	0.467626
TYROBP	LRRC25	0.466073
ADGRF5	ADGRL4	0.465629
WAS	RASAL3	0.465434
MAP4K1	RASAL3	0.46431
ZNF816	ZNF888	0.463869
CASZ1	NSMCE1	0.463804
APBB1IP	FERMT3	0.463676
FOXP3	HNRNPA1P21	0.463542
ACAP1	RHOH	0.462521
SASH3	MYO1F	0.462415
SIGLEC9	C3AR1	0.461292
CD37	DOCK2	0.461116
GAB3	SNX20	0.46101
MS4A6A	AIF1	0.460841
TTN	TTN-AS1	0.460156
CD86	HAVCR2	0.459699
SMUG1	MMAB	0.459167
CORO1A	SNX20	0.458966
ACAP1	IL16	0.458866
WAS	SNX20	0.458484
DIPK2B	ADGRL4	0.458333
BTK	DOCK2	0.457542
WAS	PIK3R5	0.457514
ARHGAP9	NLRC3	0.457329
SNX20	SPN	0.456977
CKMT1A	CKMT1B	0.456936
PTPN7	SPN	0.456676
RASAL3	MYO1F	0.455471
PTPN7	SNX20	0.455459
PIK3CG	MYO1F	0.455414
NCKAP1L	HAVCR2	0.455411
MYO1F	IL16	0.454558
TEK	LDB2	0.454059
GIMAP6	GIMAP1	0.453946
HAVCR2	FCER1G	0.453218
ACAP1	MAP4K1	0.452961
MMAB	CCDC57	0.452934
SASH3	GIMAP1	0.452463
PUM3	RCL1	0.452269
WAS	SASH3	0.452251
PIK3CG	RHOH	0.452149
SPI1	CD86	0.452122
NCKAP1L	GAB3	0.451934
SIGLEC9	LRRC25	0.4518
MYCT1	DIPK2B	0.450957
TYROBP	SIGLEC9	0.450426
PIK3CG	GAB3	0.450378
HAVCR2	LAPTM5	0.45003
SASH3	ARHGAP9	0.449698
FAM157A	LINC01002	0.449228
CD4	MYO1F	0.449048
FCER1G	C3AR1	0.448884
ROBO4	TM4SF18	0.448612
GIMAP6	SPN	0.448452
PIK3CG	SPN	0.44842
ZNF563	ZNF442	0.448279
PIK3CG	IL16	0.448183
LCP2	CD226	0.448032
PIK3R5	IKZF1	0.447748
DIPK2B	EMCN	0.447371
TEK	ARHGEF15	0.447329
CD37	IL16	0.446336
RASAL3	SNX20	0.446013
DOCK2	SNX20	0.445621
PTPN7	NLRC3	0.44559
MYCT1	ADGRL4	0.445354
FAM78A	MYO1F	0.445267
RASAL3	RHOH	0.445266
RHOH	IL16	0.444843
TM4SF18	CD34	0.444833
DIPK2B	ROBO4	0.444269
CD37	PIK3CG	0.44399
SPI1	CD33	0.443761
EMCN	LDB2	0.443707
DOCK8	DOCK2	0.443548
FAM3C2P	FAM3C	0.443174
UHRF2	BRD10	0.443091
NLRC3	LCK	0.443021
CD4	PIK3R5	0.442527
BCL7C	SMUG1	0.441808
NCKAP1L	GPR65	0.441396
ADGRL4	CD34	0.441136
PIK3R5	FERMT3	0.440835
MYO1F	GAB3	0.440319
CORO1A	IL16	0.440195
DOCK2	RHOH	0.440128
NCKAP1L	LAPTM5	0.44001
CYTH4	FERMT3	0.439749
GIMAP8	GIMAP1	0.439535
CD4	DOCK2	0.439191
NCKAP1L	IKZF1	0.438019
GIMAP6	GIMAP8	0.437925
DOCK2	SPN	0.437702
BTK	PIK3CG	0.437499
SASH3	IKZF1	0.437364
MYO1F	SNX20	0.436893
SEPTIN1	IKZF1	0.436119
BTK	CD37	0.435602
DOCK2	TRPV2	0.434701
CORO1A	ARHGAP9	0.434697
RBAK	ZNF12	0.434694
RASAL3	TESPA1	0.434522
PTPN7	IL16	0.434367
CD37	SPN	0.434311
MNDA	AIF1	0.434036
PTPN7	LCK	0.433387
PIK3CG	SNX20	0.433289
ARHGAP9	IL16	0.433254
SELPLG	RHOH	0.433144
WAS	IKZF1	0.433055
ZNF28	ZNF468	0.432677
GPR65	FERMT3	0.432229
LCP2	SELPLG	0.431917
JAM2	LDB2	0.431547
ADAMTS2	PDGFRB	0.431285
LCP2	CYTH4	0.430899
PTPN7	SEPTIN1	0.430817
FARS2	LYRM4	0.430614
WAS	APBB1IP	0.430417
LCP2	SNX20	0.430396
HAVCR2	FERMT3	0.430339
WAS	SEPTIN1	0.429896
CD4	CD33	0.429776
BTK	WAS	0.429591
ADGRF5	GPR4	0.429493
CD86	FCER1G	0.429334
CD34	ARHGEF15	0.428482
TEK	EMCN	0.428462
FCER1G	FPR3	0.42846
ACAP1	SASH3	0.428407
CD4	WAS	0.428396
ARHGAP9	SPN	0.428226
FAM78A	DOCK2	0.428061
RASAL3	SPN	0.427856
LCP2	IKZF1	0.427441
DHX30	ARIH2	0.427436
ELOB	SMUG1	0.427119
WAS	IL16	0.426727
RAD1	DNAJC21	0.426687
FAM78A	IL16	0.426594
ADGRL4	PECAM1	0.426323
WAS	TRPV2	0.426248
ARHGAP9	RHOH	0.425886
TIE1	MYCT1	0.425548
ARCN1	SRPRA	0.425485
NSUN2	CCT5	0.42539
WAS	PTPN7	0.425329
ABI3	NCKAP1L	0.424879
LCP2	TRPV2	0.424409
PIK3CG	FERMT3	0.424341
CORO1A	DOCK2	0.424323
IL16	IKZF1	0.42418
BTN3A1	BTN3A3	0.424033
SHARPIN	HSF1	0.423889
CORO1A	MYO1F	0.423885
LCP2	DOCK8	0.423584
NCKAP1L	GIMAP6	0.423575
SIGLEC9	FCER1G	0.423135
LCP2	SPN	0.422918
WAS	PARVG	0.422726
NCKAP1L	SPN	0.422604
WAS	SELPLG	0.42221
NCKAP1L	FAM78A	0.422193
SPI1	FERMT3	0.421537
FERMT3	SNX20	0.421453
RPS10P7	CSRP1-AS1	0.420922
FAM78A	FERMT3	0.420791
RNF123	USP19	0.420779
ARHGAP9	TESPA1	0.420669
ATP6V1C1	WASHC5	0.42043
SASH3	NLRC3	0.420396
BCL7C	DISP1	0.420271
CD34	CLEC14A	0.419517
DISP1	CCDC57	0.41931
PIK3R5	IL16	0.419188
SPI1	ABI3	0.418727
PCID2	CUL4A	0.418614
ACAP1	CORO1A	0.418232
LCP2	RHOH	0.418092
SELPLG	IKZF1	0.418075
GPR65	TRPV2	0.417957
TYROBP	CD86	0.417919
ZNF687	SETDB1	0.417577
LCP2	PIK3R5	0.417163
TEK	JAM2	0.416638
ZNF671	ARHGEF6	0.41659
WAS	ACAP1	0.416467
GPR65	CCR1	0.416206
CLEC14A	ARHGEF15	0.416131
CD4	CD86	0.415675
ARCN1	STT3A	0.41546
CORO1A	SPN	0.415442
ARHGEF6	DOCK2	0.415228
MAP4K1	LCK	0.414951
CORO1A	LCK	0.414931
RHOH	LCK	0.41463
CYTH4	PTPN7	0.414461
CYTH4	CORO1A	0.414003
MS4A7	C3AR1	0.413803
BCL7C	MMAB	0.413718
CD37	PIK3R5	0.413631
LAPTM5	TRPV2	0.413622
SIGLEC9	FPR3	0.413579
KDM7A	KDM7A-DT	0.413247
CYTH4	RASAL3	0.413175
SASH3	GPR65	0.413171
CD37	RASAL3	0.413123
ABI3	GNGT2	0.412999
LCP2	CD37	0.412222
